source,target,weight,betweenness_source,betweenness_target
Abdelhamid Sabiri,Achraf Hakimi Mouh,1,0.0036,0.019
Abdelhamid Sabiri,Azzedine Ounahi,3,0.0036,0.0158
Abdelhamid Sabiri,Hakim Ziyech,2,0.0036,0.0089
Abdelhamid Sabiri,Noussair Mazraoui,2,0.0036,0.0056
Abdelhamid Sabiri,Romain Saïss,1,0.0036,0.0133
Abdelhamid Sabiri,Sofiane Boufal,5,0.0036,0.0029
Abdelhamid Sabiri,Sofyan Amrabat,7,0.0036,0.0245
Abdelhamid Sabiri,Yassine Bounou,1,0.0036,0.0144
Achraf Hakimi Mouh,Abdelhamid Sabiri,1,0.019,0.0036
Achraf Hakimi Mouh,Abderrazak Hamdallah,1,0.019,0.0038
Achraf Hakimi Mouh,Azzedine Ounahi,11,0.019,0.0158
Achraf Hakimi Mouh,Hakim Ziyech,13,0.019,0.0089
Achraf Hakimi Mouh,Nayef Aguerd,9,0.019,0.0024
Achraf Hakimi Mouh,Sofiane Boufal,2,0.019,0.0029
Achraf Hakimi Mouh,Sofyan Amrabat,8,0.019,0.0245
Achraf Hakimi Mouh,Youssef En-Nesyri,8,0.019,0.0105
Azzedine Ounahi,Abdelhamid Sabiri,1,0.0158,0.0036
Azzedine Ounahi,Achraf Hakimi Mouh,5,0.0158,0.019
Azzedine Ounahi,Hakim Ziyech,9,0.0158,0.0089
Azzedine Ounahi,Nayef Aguerd,1,0.0158,0.0024
Azzedine Ounahi,Romain Saïss,3,0.0158,0.0133
Azzedine Ounahi,Sofiane Boufal,4,0.0158,0.0029
Azzedine Ounahi,Sofyan Amrabat,5,0.0158,0.0245
Azzedine Ounahi,Yassine Bounou,1,0.0158,0.0144
Azzedine Ounahi,Youssef En-Nesyri,3,0.0158,0.0105
Hakim Ziyech,Abdelhamid Sabiri,2,0.0089,0.0036
Hakim Ziyech,Achraf Hakimi Mouh,13,0.0089,0.019
Hakim Ziyech,Azzedine Ounahi,4,0.0089,0.0158
Hakim Ziyech,Nayef Aguerd,4,0.0089,0.0024
Hakim Ziyech,Noussair Mazraoui,2,0.0089,0.0056
Hakim Ziyech,Romain Saïss,1,0.0089,0.0133
Hakim Ziyech,Sofiane Boufal,2,0.0089,0.0029
Hakim Ziyech,Yassine Bounou,1,0.0089,0.0144
Hakim Ziyech,Youssef En-Nesyri,3,0.0089,0.0105
Hakim Ziyech,Zakaria Aboukhlal,1,0.0089,0.0011
Noussair Mazraoui,Abdelhamid Sabiri,3,0.0056,0.0036
Noussair Mazraoui,Achraf Hakimi Mouh,2,0.0056,0.019
Noussair Mazraoui,Romain Saïss,5,0.0056,0.0133
Noussair Mazraoui,Sofiane Boufal,6,0.0056,0.0029
Noussair Mazraoui,Yassine Bounou,2,0.0056,0.0144
Noussair Mazraoui,Youssef En-Nesyri,2,0.0056,0.0105
Noussair Mazraoui,Zakaria Aboukhlal,1,0.0056,0.0011
Romain Saïss,Abdelhamid Sabiri,3,0.0133,0.0036
Romain Saïss,Achraf Hakimi Mouh,3,0.0133,0.019
Romain Saïss,Azzedine Ounahi,1,0.0133,0.0158
Romain Saïss,Nayef Aguerd,5,0.0133,0.0024
Romain Saïss,Noussair Mazraoui,4,0.0133,0.0056
Romain Saïss,Sofiane Boufal,3,0.0133,0.0029
Romain Saïss,Sofyan Amrabat,4,0.0133,0.0245
Romain Saïss,Yassine Bounou,3,0.0133,0.0144
Romain Saïss,Youssef En-Nesyri,6,0.0133,0.0105
Sofiane Boufal,Abdelhamid Sabiri,6,0.0029,0.0036
Sofiane Boufal,Achraf Hakimi Mouh,1,0.0029,0.019
