player,pagerank
Kamal Miller,0.0638
Achraf Hakimi Mouh,0.0566
Sofyan Amrabat,0.0544
Mark Anthony Kaye,0.0487
Steven de Sousa Vitoria,0.0469
Hakim Ziyech,0.0459
Azzedine Ounahi,0.0455
Tajon Buchanan,0.0432
Alistair Johnston,0.0431
Romain Saïss,0.0392
Nayef Aguerd,0.0374
Abdelhamid Sabiri,0.0373
Sofiane Boufal,0.0363
Alphonso Davies,0.0363
Youssef En-Nesyri,0.0352
Sam Adekugbe,0.0343
Jonathan Osorio,0.032
David Junior Hoilett,0.0315
Yassine Bounou,0.0265
Noussair Mazraoui,0.0263
Ismael Koné,0.0247
Atiba Hutchinson,0.0228
Abderrazak Hamdallah,0.0225
Zakaria Aboukhlal,0.0197
Cyle Larin,0.0179
Jonathan David,0.0169
Milan Borjan,0.0141
Richie Laryea,0.0139
David Wallace Wotherspoon,0.0097
Selim Amallah,0.0078
Jawad El Yamiq,0.0047
Yahya Jabrane,0.0047
