passer,receiver,x,y,end_x,end_y,pass_outcome,pass_length,pass_angle,minute,second,team,match_id,match_date,opponent
Youssef En-Nesyri,Sofyan Amrabat,61.0,40.1,48.5,41.3,,12.557467,3.045886,0,0,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Nayef Aguerd,48.4,42.5,30.5,59.0,,24.344608,2.3968697,0,2,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Romain Saïss,30.9,59.0,29.8,26.9,,32.118843,-1.6050508,0,5,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Nayef Aguerd,31.7,26.2,24.8,58.4,,32.93099,1.7818897,0,8,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,26.9,59.5,34.7,78.0,,20.0771,1.1717907,0,12,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Sofyan Amrabat,32.4,79.2,36.8,73.0,,7.602631,-0.95360494,0,15,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Hakim Ziyech,36.8,73.0,43.5,78.2,,8.481155,0.660009,0,16,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,37.3,78.2,29.0,79.6,,8.417244,2.974491,0,18,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,27.6,78.0,14.1,74.9,,13.851354,-2.9158762,0,20,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Yassine Bounou,14.1,74.4,7.1,51.2,,24.233036,-1.8638341,0,22,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Romain Saïss,6.6,47.7,9.9,14.6,,33.264095,-1.4714268,0,25,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Abdelhamid Sabiri,22.7,7.2,92.7,4.7,,70.04463,-0.035699114,0,30,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofiane Boufal,97.9,4.2,90.6,17.7,,15.347313,2.0665028,0,37,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Hakim Ziyech,89.6,17.7,98.1,75.1,,58.025944,1.4237812,0,39,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,100.0,75.6,86.7,69.5,,14.632156,-2.7115715,0,45,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,87.0,68.7,97.2,75.9,,12.485191,0.61466295,0,47,Morocco,3857276,2022-12-01,Morocco
